id,vacancy_name,experience,lvl,views,applications,part_of_url
1,developer,0,junior,1296,293,https://djinni.co/jobs/431369-stazher-js-python-c-/
2,engineer,0,junior,1119,297,https://djinni.co/jobs/512545-python-engineer-for-ai-based-project/
3,backend developer,0,junior,1775,497,https://djinni.co/jobs/514025-junior-backend-developer-intern-/
4,developer,1,junior,203,95,https://djinni.co/jobs/96861-python-developer/
5,developer integrator,1,junior,204,56,https://djinni.co/jobs/522919-integration-developer-python-/
6,developer software,1,junior,319,99,https://djinni.co/jobs/522185-junior-python-developer-for-ai-software-produ/
7,developer,1,junior,146,37,https://djinni.co/jobs/86357-python-developer/
8,developer fullstack,1,junior,113,35,https://djinni.co/jobs/521631-full-stack-developer-python-vuejs-/
9,developer,1,junior,188,28,https://djinni.co/jobs/359059-odoo-developer-middle-senior-/
10,engineer software,1,junior,227,37,https://djinni.co/jobs/521513-junior-software-engineer/
11,developer,1,junior,363,93,https://djinni.co/jobs/521512-aws-python-django-fastapi-cassandra-dev-on-uk/
12,developer,1,junior,126,37,https://djinni.co/jobs/520188-middle-python-developer/
13,backend developer,1,junior,343,106,https://djinni.co/jobs/178782-python-django-backend-developer/
14,developer,1,junior,549,216,https://djinni.co/jobs/518695-python-developer/
15,developer,1,junior,176,41,https://djinni.co/jobs/509091-middle-python-developer/
16,developer,1,junior,289,61,https://djinni.co/jobs/518284-junior-python-developer-uzhhorod-or-mukachevo/
17,backend developer,1,junior,464,129,https://djinni.co/jobs/134544-python-developer-backend-developer/
18,developer,1,junior,151,11,https://djinni.co/jobs/473986-python-and-s-s-developer/
19,engineer,1,junior,328,38,https://djinni.co/jobs/516803-python-etl-engineer-middle-strong-junior/
20,developer,1,junior,198,43,https://djinni.co/jobs/515852-daas-support-eng/
21,developer,1,junior,551,90,https://djinni.co/jobs/501096-strong-junior-python-developer/
22,developer,1,junior,48,9,https://djinni.co/jobs/513823-upskilling-junior-python-developer-bulgaria-/
23,developer,1,junior,311,71,https://djinni.co/jobs/505763-python-developer/
24,backend developer,2,middle,6,1,https://djinni.co/jobs/523137-backend-developer-python-/
25,engineer lead,2,middle,32,5,https://djinni.co/jobs/439920-senior-data-and-content-engineer-lead/
26,backend developer,2,middle,60,15,https://djinni.co/jobs/522763-middle-senior-back-end-developer-python-/
27,developer,2,middle,123,29,https://djinni.co/jobs/416410-python-developer/
28,developer,2,middle,102,9,https://djinni.co/jobs/522349-python-machine-learning-computer-vision-devel/
29,developer,2,middle,50,2,https://djinni.co/jobs/496348-middle-senior-python-django-developer/
30,developer,2,middle,59,6,https://djinni.co/jobs/522195-middle-python-developer/
31,developer,2,middle,54,10,https://djinni.co/jobs/522055-qa-automation-python-/
32,developer,2,middle,128,44,https://djinni.co/jobs/478604-python-developer/
33,developer,2,middle,149,45,https://djinni.co/jobs/521885-go-python-developer-armenia-or-kazakhstan-/
34,developer,2,middle,95,29,https://djinni.co/jobs/521869-python-django-developer/
35,developer,2,middle,79,14,https://djinni.co/jobs/521803-middle-python-developer/
36,engineer,2,middle,33,3,https://djinni.co/jobs/511889-computer-vision-engineer/
37,backend engineer software,2,middle,103,17,https://djinni.co/jobs/335146-middle-python-software-engineer-backend-/
38,developer fullstack,2,middle,179,19,https://djinni.co/jobs/521399-junior-middle-full-stack-python-developer/
39,developer fullstack,2,middle,60,7,https://djinni.co/jobs/496114-fullstack-python-developer/
40,developer,2,middle,111,40,https://djinni.co/jobs/521112-python-django-developer/
41,developer team,2,middle,45,6,https://djinni.co/jobs/521101-python-developer-custom-plugins-team-/
42,developer,2,middle,144,34,https://djinni.co/jobs/510152-middle-python-developer/
43,developer fullstack,2,middle,70,14,https://djinni.co/jobs/520455-full-stack-python-developer/
44,developer,2,middle,111,30,https://djinni.co/jobs/520139-python-developer/
45,backend developer,2,middle,121,15,https://djinni.co/jobs/520040-python-backend-developer/
46,developer,2,middle,208,92,https://djinni.co/jobs/519485-middle-python-developer/
47,backend developer,2,middle,120,39,https://djinni.co/jobs/410752-python-backend-developer/
48,developer,2,middle,119,32,https://djinni.co/jobs/464106-python-developer/
49,developer,2,middle,70,14,https://djinni.co/jobs/463004-middle-python-developer/
50,engineer,2,middle,78,12,https://djinni.co/jobs/509543-qa-engineer-python-/
51,developer,2,middle,68,12,https://djinni.co/jobs/519354-python-developer/
52,developer,2,middle,117,39,https://djinni.co/jobs/519268-middle-python-developer/
53,backend developer,2,middle,280,62,https://djinni.co/jobs/114331-junior-python-developer-cloud-backend-/
54,backend developer,2,middle,114,25,https://djinni.co/jobs/411897-backend-python-developer/
55,developer,2,middle,103,14,https://djinni.co/jobs/518389-python-developer/
56,developer,2,middle,244,98,https://djinni.co/jobs/290835-middle-django-developer/
57,backend engineer,2,middle,262,105,https://djinni.co/jobs/518243-python-backend-engineer/
58,engineer fullstack,2,middle,190,31,https://djinni.co/jobs/518068-fullstack-engineer/
59,backend developer,2,middle,97,33,https://djinni.co/jobs/294995-middle-python-back-end-developer/
60,engineer,2,middle,7,2,https://djinni.co/jobs/517572-middle-automation-engineer-python-/
61,engineer software,2,middle,73,13,https://djinni.co/jobs/517493-middle-python-software-engineer-prom-ua-/
62,developer,2,middle,69,17,https://djinni.co/jobs/488435-python-developer/
63,developer,2,middle,175,82,https://djinni.co/jobs/268334-python-developer/
64,backend developer,2,middle,78,25,https://djinni.co/jobs/517234-middle-backend-developer-python-/
65,developer,2,middle,21,2,https://djinni.co/jobs/517107-odoo-developer-python-/
66,developer,2,middle,45,3,https://djinni.co/jobs/396471-mathematician/
67,developer,2,middle,153,34,https://djinni.co/jobs/444332-python-developer-django-/
68,engineer software,2,middle,87,11,https://djinni.co/jobs/427952-python-software-engineer/
69,developer,2,middle,59,17,https://djinni.co/jobs/507550-middle-python-developer/
70,developer,2,middle,184,38,https://djinni.co/jobs/516653-python-developer/
71,developer,2,middle,37,14,https://djinni.co/jobs/497757-python-developer-middle-tornado-aiohttp-/
72,engineer,2,middle,102,7,https://djinni.co/jobs/515757-machine-learning-deep-learning-engineer-progn/
73,engineer,2,middle,72,5,https://djinni.co/jobs/515755-machine-learning-deep-learning-engineer-poshu/
74,backend developer,2,middle,102,24,https://djinni.co/jobs/505847-middle-backend-developer-python-/
75,developer,2,middle,126,41,https://djinni.co/jobs/515264-python-flask-developer/
76,developer,2,middle,59,23,https://djinni.co/jobs/499724-crawler-for-ivix/
77,engineer,2,middle,68,8,https://djinni.co/jobs/514811-machine-learning-engineer/
78,developer,2,middle,34,2,https://djinni.co/jobs/514549-middle-python-odoo-developer/
79,developer,2,middle,126,66,https://djinni.co/jobs/514529-ivix-crawler-python-/
80,engineer,2,middle,42,11,https://djinni.co/jobs/483351-middle-python-django-engineer-recommender-/
81,engineer software,2,middle,67,11,https://djinni.co/jobs/506633-middle-python-software-engineer-shafa-ua-/
82,developer,2,middle,240,52,https://djinni.co/jobs/505016-python-developer-middle-/
83,developer fullstack,2,middle,63,12,https://djinni.co/jobs/514268-full-stack-developer-vue-js-python-/
84,developer,2,middle,85,14,https://djinni.co/jobs/514248-python-inzhener-big-data-ai-/
85,developer,2,middle,166,34,https://djinni.co/jobs/481841-python-developer/
86,developer,2,middle,69,5,https://djinni.co/jobs/513643-middle-python-developer/
87,developer,2,middle,110,24,https://djinni.co/jobs/481342-middle-senior-python-developer/
88,developer software tech,2,middle,53,5,https://djinni.co/jobs/513523-mid-level-software-developer-for-funded-finte/
89,engineer software,2,middle,42,8,https://djinni.co/jobs/513072-software-engineer-python-c-/
90,backend developer,2,middle,254,66,https://djinni.co/jobs/395492-middle-python-backend-developer/
91,developer,2,middle,175,21,https://djinni.co/jobs/324711-python-django-developer/
92,developer,2,middle,18,4,https://djinni.co/jobs/512696-middle-python-developer-poland-only-/
